"time","root.devdb.i483.sensors.s2510030.SCD41.co2"
2025-06-05 12:57:14,1033
2025-06-05 12:57:29,1032
2025-06-05 12:57:45,1032
2025-06-05 12:58:00,1032
2025-06-05 12:58:15,1031
2025-06-05 12:58:30,1030
2025-06-05 12:58:46,1029
2025-06-05 12:59:01,1029
2025-06-05 12:59:16,1028
2025-06-05 12:59:31,1027
2025-06-05 12:59:46,1026
2025-06-05 13:00:02,1025
2025-06-05 13:00:17,1020
2025-06-05 13:00:32,1020
2025-06-05 13:00:47,1020
2025-06-05 13:01:03,1018
2025-06-05 13:01:18,1016
2025-06-05 13:01:33,1013
2025-06-05 13:01:48,1010
2025-06-05 13:02:03,1008
2025-06-05 13:02:19,1005
2025-06-05 13:02:34,1004
2025-06-05 13:02:49,1003
2025-06-05 13:03:04,1001
2025-06-05 13:03:20,1000
2025-06-05 13:03:35,1000
2025-06-05 13:03:50,999
2025-06-05 13:04:05,999
2025-06-05 13:04:20,1000
2025-06-05 13:04:36,1000
2025-06-05 13:04:51,999
2025-06-05 13:05:06,998
2025-06-05 13:05:21,998
2025-06-05 13:05:37,997
2025-06-05 13:05:52,998
2025-06-05 13:06:07,999
2025-06-05 13:06:22,998
2025-06-05 13:06:37,1000
2025-06-05 13:06:53,1000
2025-06-05 13:07:08,999
2025-06-05 13:07:23,997
2025-06-05 13:07:38,998
2025-06-05 13:07:53,999
2025-06-05 13:08:09,999
2025-06-05 13:08:24,1000
2025-06-05 13:08:39,999
2025-06-05 13:08:54,998
2025-06-05 13:09:10,997
2025-06-05 13:09:25,997
2025-06-05 13:09:40,996
2025-06-05 13:09:55,997
2025-06-05 13:10:10,998
2025-06-05 13:10:26,996
2025-06-05 13:10:41,996
2025-06-05 13:10:56,996
2025-06-05 13:11:11,995
2025-06-05 13:11:27,996
2025-06-05 13:11:42,995
2025-06-05 13:11:57,995
2025-06-05 13:12:12,994
2025-06-05 13:12:27,995
2025-06-05 13:12:43,996
2025-06-05 13:12:58,995
2025-06-05 13:13:13,994
2025-06-05 13:13:28,993
2025-06-05 13:13:44,994
2025-06-05 13:13:59,993
2025-06-05 13:14:14,991
2025-06-05 13:14:29,989
2025-06-05 13:14:44,988
2025-06-05 13:15:00,987
2025-06-05 13:15:15,988
2025-06-05 13:15:30,991
2025-06-05 13:15:45,992
2025-06-05 13:16:01,993
2025-06-05 13:16:16,996
2025-06-05 13:16:31,996
2025-06-05 13:16:46,999
2025-06-05 13:17:01,1000
2025-06-05 13:17:17,1002
2025-06-05 13:17:32,1004
2025-06-05 13:17:47,1011
2025-06-05 13:18:02,1018
2025-06-05 13:18:17,1028
2025-06-05 13:18:33,1032
2025-06-05 13:18:48,1049
2025-06-05 13:19:03,1064
2025-06-05 13:19:18,1078
2025-06-05 13:19:34,1087
2025-06-05 13:19:49,1103
2025-06-05 13:20:04,1113
2025-06-05 13:20:19,1118
2025-06-05 13:20:34,1120
2025-06-05 13:20:50,1130
2025-06-05 13:21:05,1137
2025-06-05 13:21:20,1138
2025-06-05 13:21:35,1141
2025-06-05 13:21:51,1141
2025-06-05 13:22:06,1144
2025-06-05 13:22:21,1147
2025-06-05 13:22:36,1153
2025-06-05 13:22:51,1155
2025-06-05 13:23:07,1165
2025-06-05 13:23:22,1174
2025-06-05 13:23:37,1182
2025-06-05 13:23:52,1188
2025-06-05 13:24:08,1188
2025-06-05 13:24:23,1189
2025-06-05 13:24:38,1193
2025-06-05 13:24:53,1198
2025-06-05 13:25:08,1206
2025-06-05 13:25:24,1207
2025-06-05 13:25:39,1209
2025-06-05 13:25:54,1211
2025-06-05 13:26:09,1215
2025-06-05 13:26:25,1217
2025-06-05 13:26:40,1219
2025-06-05 13:26:55,1218
2025-06-05 13:27:10,1219
2025-06-05 13:27:25,1219
2025-06-05 13:27:41,1219
2025-06-05 13:27:56,1219
2025-06-05 13:28:11,1220
2025-06-05 13:28:26,1220
2025-06-05 13:28:41,1222
2025-06-05 13:28:57,1223
2025-06-05 13:29:12,1227
2025-06-05 13:29:27,1231
2025-06-05 13:29:42,1236
2025-06-05 13:29:58,1238
2025-06-05 13:30:13,1241
2025-06-05 13:30:28,1241
2025-06-05 13:30:43,1242
2025-06-05 13:30:58,1248
2025-06-05 13:31:14,1250
2025-06-05 13:31:29,1253
2025-06-05 13:31:44,1253
2025-06-05 13:31:59,1255
2025-06-05 13:32:15,1259
2025-06-05 13:32:30,1261
2025-06-05 13:32:45,1264
2025-06-05 13:33:00,1267
2025-06-05 13:33:15,1269
2025-06-05 13:33:31,1271
2025-06-05 13:33:46,1272
2025-06-05 13:34:01,1273
2025-06-05 13:34:16,1275
2025-06-05 13:34:32,1280
2025-06-05 13:34:47,1282
2025-06-05 13:35:02,1284
2025-06-05 13:35:17,1287
2025-06-05 13:35:32,1291
2025-06-05 13:35:48,1294
2025-06-05 13:36:03,1296
2025-06-05 13:36:18,1298
2025-06-05 13:36:33,1299
2025-06-05 13:36:49,1301
2025-06-05 13:37:04,1303
2025-06-05 13:37:19,1304
2025-06-05 13:37:34,1306
2025-06-05 13:37:49,1308
2025-06-05 13:38:05,1309
2025-06-05 13:38:20,1308
2025-06-05 13:38:35,1308
2025-06-05 13:38:50,1308
2025-06-05 13:39:05,1306
2025-06-05 13:39:21,1303
2025-06-05 13:39:36,1298
2025-06-05 13:39:51,1290
2025-06-05 13:40:06,1288
2025-06-05 13:40:22,1285
2025-06-05 13:40:37,1282
2025-06-05 13:40:52,1277
2025-06-05 13:41:07,1275
2025-06-05 13:41:22,1274
2025-06-05 13:41:38,1273
2025-06-05 13:41:53,1265
2025-06-05 13:42:08,1259
2025-06-05 13:42:23,1256
2025-06-05 13:42:39,1254
2025-06-05 13:42:54,1250
2025-06-05 13:43:09,1251
2025-06-05 13:43:24,1250
2025-06-05 13:43:39,1251
2025-06-05 13:43:55,1253
2025-06-05 13:44:10,1256
2025-06-05 13:44:25,1257
2025-06-05 13:44:40,1257
2025-06-05 13:44:56,1259
2025-06-05 13:45:11,1261
2025-06-05 13:45:26,1261
2025-06-05 13:45:41,1265
2025-06-05 13:45:57,1267
2025-06-05 13:46:12,1266
2025-06-05 13:46:27,1264
2025-06-05 13:46:42,1259
2025-06-05 13:46:57,1259
2025-06-05 13:47:13,1258
2025-06-05 13:47:28,1258
2025-06-05 13:47:43,1259
2025-06-05 13:47:58,1259
2025-06-05 13:48:13,1260
2025-06-05 13:48:29,1260
2025-06-05 13:48:44,1260
2025-06-05 13:48:59,1260
2025-06-05 13:49:14,1259
2025-06-05 13:49:29,1259
2025-06-05 13:49:45,1252
2025-06-05 13:50:00,1248
2025-06-05 13:50:15,1245
2025-06-05 13:50:30,1238
2025-06-05 13:50:46,1236
2025-06-05 13:51:01,1235
2025-06-05 13:51:16,1234
2025-06-05 13:51:31,1235
2025-06-05 13:51:46,1235
2025-06-05 13:52:02,1235
2025-06-05 13:52:17,1235
2025-06-05 13:52:32,1237
2025-06-05 13:52:47,1241
2025-06-05 13:53:03,1243
2025-06-05 13:53:18,1243
2025-06-05 13:53:33,1244
2025-06-05 13:53:48,1244
2025-06-05 13:54:03,1245
2025-06-05 13:54:19,1246
2025-06-05 13:54:34,1246
2025-06-05 13:54:49,1244
2025-06-05 13:55:04,1246
2025-06-05 13:55:20,1248
2025-06-05 13:55:35,1248
2025-06-05 13:55:50,1250
2025-06-05 13:56:05,1254
2025-06-05 13:56:20,1256
2025-06-05 13:56:36,1257
2025-06-05 13:56:51,1260
2025-06-05 13:57:06,1261
2025-06-05 13:57:21,1263
2025-06-05 13:57:37,1265
2025-06-05 13:57:52,1266
2025-06-05 13:58:07,1269
2025-06-05 13:58:22,1270
2025-06-05 13:58:37,1272
2025-06-05 13:58:53,1274
2025-06-05 13:59:08,1276
2025-06-05 13:59:23,1276
2025-06-05 13:59:38,1278
2025-06-05 13:59:53,1279
2025-06-05 14:00:09,1278
2025-06-05 14:00:24,1277
2025-06-05 14:00:39,1276
2025-06-05 14:00:54,1274
2025-06-05 14:01:10,1273
2025-06-05 14:01:25,1270
2025-06-05 14:01:40,1269
2025-06-05 14:01:55,1267
2025-06-05 14:02:10,1267
2025-06-05 14:02:26,1267
2025-06-05 14:02:41,1266
2025-06-05 14:02:56,1265
2025-06-05 14:03:11,1265
2025-06-05 14:03:27,1263
2025-06-05 14:03:42,1261
2025-06-05 14:03:57,1258
2025-06-05 14:04:12,1256
2025-06-05 14:04:27,1252
2025-06-05 14:04:43,1250
2025-06-05 14:04:58,1249
2025-06-05 14:05:13,1244
2025-06-05 14:05:28,1241
2025-06-05 14:05:44,1240
2025-06-05 14:05:59,1237
2025-06-05 14:06:14,1236
2025-06-05 14:06:29,1234
2025-06-05 14:06:44,1234
2025-06-05 14:07:00,1232
2025-06-05 14:07:15,1230
2025-06-05 14:07:30,1229
2025-06-05 14:07:50,1229
2025-06-05 14:08:01,1227
2025-06-05 14:08:16,1226
2025-06-05 14:08:31,1227
2025-06-05 14:08:46,1227
2025-06-05 14:09:01,1227
2025-06-05 14:09:17,1228
2025-06-05 14:09:32,1227
2025-06-05 14:09:47,1226
2025-06-05 14:10:02,1225
2025-06-05 14:10:17,1225
2025-06-05 14:10:33,1225
2025-06-05 14:10:48,1223
2025-06-05 14:11:03,1221
2025-06-05 14:11:18,1221
2025-06-05 14:11:34,1221
2025-06-05 14:11:49,1221
2025-06-05 14:12:04,1223
2025-06-05 14:12:19,1225
2025-06-05 14:12:35,1225
2025-06-05 14:12:50,1225
2025-06-05 14:13:05,1225
2025-06-05 14:13:20,1223
2025-06-05 14:13:35,1219
2025-06-05 14:13:51,1218
2025-06-05 14:14:06,1219
2025-06-05 14:14:21,1218
2025-06-05 14:14:36,1217
2025-06-05 14:14:51,1215
2025-06-05 14:15:07,1211
2025-06-05 14:15:22,1210
2025-06-05 14:15:37,1207
2025-06-05 14:15:52,1202
2025-06-05 14:16:08,1198
2025-06-05 14:16:23,1197
2025-06-05 14:16:38,1197
2025-06-05 14:16:53,1197
2025-06-05 14:17:08,1196
2025-06-05 14:17:24,1197
2025-06-05 14:17:39,1197
2025-06-05 14:17:54,1195
2025-06-05 14:18:09,1194
2025-06-05 14:18:25,1194
2025-06-05 14:18:40,1193
2025-06-05 14:18:55,1194
2025-06-05 14:19:10,1192
2025-06-05 14:19:25,1192
2025-06-05 14:19:41,1190
2025-06-05 14:19:56,1189
2025-06-05 14:20:11,1187
2025-06-05 14:20:26,1186
2025-06-05 14:20:41,1185
2025-06-05 14:20:57,1185
2025-06-05 14:21:12,1184
2025-06-05 14:21:27,1182
2025-06-05 14:21:42,1182
2025-06-05 14:21:58,1182
2025-06-05 14:22:13,1181
2025-06-05 14:22:28,1181
2025-06-05 14:22:43,1177
2025-06-05 14:22:58,1175
2025-06-05 14:23:14,1175
2025-06-05 14:23:29,1175
2025-06-05 14:23:44,1173
2025-06-05 14:23:59,1172
2025-06-05 14:24:15,1167
2025-06-05 14:24:30,1166
2025-06-05 14:24:45,1166
2025-06-05 14:25:00,1167
2025-06-05 14:25:15,1166
2025-06-05 14:25:31,1165
2025-06-05 14:25:46,1166
2025-06-05 14:26:01,1166
2025-06-05 14:26:16,1165
2025-06-05 14:26:32,1166
2025-06-05 14:26:47,1167
2025-06-05 14:27:02,1167
2025-06-05 14:27:17,1165
2025-06-05 14:27:32,1165
2025-06-05 14:27:48,1164
2025-06-05 14:28:03,1164
2025-06-05 14:28:18,1164
2025-06-05 14:28:33,1165
2025-06-05 14:28:49,1164
2025-06-05 14:29:04,1164
2025-06-05 14:29:19,1162
2025-06-05 14:29:34,1161
2025-06-05 14:29:49,1160
2025-06-05 14:30:05,1159
2025-06-05 14:30:20,1159
2025-06-05 14:30:35,1158
2025-06-05 14:30:50,1157
2025-06-05 14:31:06,1156
2025-06-05 14:31:21,1157
2025-06-05 14:31:36,1156
2025-06-05 14:31:51,1155
2025-06-05 14:32:06,1156
2025-06-05 14:32:22,1155
2025-06-05 14:32:37,1157
2025-06-05 14:32:52,1157
2025-06-05 14:33:07,1156
2025-06-05 14:33:22,1155
2025-06-05 14:33:38,1155
2025-06-05 14:33:53,1155
2025-06-05 14:34:08,1154
2025-06-05 14:34:23,1154
2025-06-05 14:34:39,1153
2025-06-05 14:34:54,1151
2025-06-05 14:35:09,1148
2025-06-05 14:35:24,1147
2025-06-05 14:35:39,1146
2025-06-05 14:35:55,1146
2025-06-05 14:36:10,1145
2025-06-05 14:36:25,1146
2025-06-05 14:36:40,1145
2025-06-05 14:36:56,1142
2025-06-05 14:37:11,1141
2025-06-05 14:37:26,1141
2025-06-05 14:37:41,1141
2025-06-05 14:37:56,1137
2025-06-05 14:38:12,1138
